x	ch0	ch1	ch2	ch3
602	228	25111	224	25115
603	227	25110	225	25116
604	228	25111	225	25116
605	228	25111	225	25116
606	228	25111	225	25116
607	228	25112	223	25115
608	227	25109	224	25115
609	227	25110	224	25115
610	228	25110	224	25115
611	228	25112	225	25117
612	228	25112	225	25116
613	228	25111	225	25117
614	228	25111	225	25116
615	228	25111	224	25115
616	228	25110	224	25117
617	227	25111	225	25116
618	228	25111	225	25116
619	228	25111	224	25116
620	228	25111	225	25116
621	228	25111	225	25115
622	228	25110	224	25115
623	228	25111	224	25116
624	227	25110	224	25116
625	228	25111	225	25116
626	228	25111	225	25116
627	228	25111	225	25115
628	228	25111	225	25116
629	228	25111	225	25116
630	228	25110	225	25115
631	228	25110	224	25115
632	228	25110	225	25115
633	228	25110	225	25115
634	228	25112	225	25117
635	228	25112	225	25117
636	228	25112	224	25116
637	228	25111	225	25116
638	227	25111	225	25115
639	227	25111	225	25116
640	228	25112	225	25117
641	228	25112	225	25116
642	228	25112	225	25117
643	228	25111	224	25117
644	228	25111	225	25115
645	228	25111	224	25116
646	227	25111	224	25117
647	227	25111	224	25116
648	228	25111	224	25116
649	228	25111	225	25116
650	228	25111	224	25116
651	228	25110	225	25116
652	228	25111	224	25116
653	227	25110	225	25116
654	227	25111	225	25116
655	228	25111	225	25116
656	228	25111	225	25116
657	228	25111	225	25117
658	228	25112	224	25117
659	227	25111	224	25116
660	227	25111	224	25116
661	228	25111	225	25116
662	228	25111	225	25116
663	228	25111	225	25116
664	228	25112	225	25117
665	228	25111	224	25116
666	228	25111	225	25116
667	227	25110	224	25116
668	228	25111	225	25115
669	228	25111	225	25116
670	228	25111	225	25116
671	228	25111	224	25116
672	228	25111	225	25116
673	228	25110	224	25115
674	228	25111	225	25116
675	228	25111	225	25116
676	227	25111	225	25115
677	228	25111	225	25116
678	228	25111	225	25116
679	228	25111	225	25115
680	228	25110	225	25117
681	227	25112	225	25116
682	228	25112	225	25116
683	228	25112	224	25116
684	228	25112	225	25116
685	228	25111	225	25116
686	228	25111	225	25117
687	228	25112	225	25117
688	227	25111	225	25116
689	228	25111	224	25116
690	228	25111	224	25116
691	228	25110	225	25116
692	228	25112	225	25116
693	228	25112	225	25117
694	228	25111	225	25116
695	228	25111	225	25116
696	228	25111	225	25116
697	228	25110	225	25115
698	228	25111	224	25116
699	228	25112	225	25116
700	228	25112	225	25116
701	228	25112	225	25116
702	228	25111	225	25115
703	228	25111	225	25115
704	228	25112	224	25117
705	228	25112	224	25116
706	227	25112	225	25117
707	228	25112	225	25116
708	228	25111	225	25116
709	227	25111	225	25116
710	227	25111	224	25116
711	227	25111	225	25116
712	227	25111	225	25116
713	227	25110	225	25116
714	228	25111	225	25116
715	228	25111	224	25116
716	228	25112	225	25116
717	228	25111	224	25115
718	228	25111	224	25115
719	228	25111	225	25116
720	227	25110	225	25116
721	228	25111	225	25116
722	228	25112	225	25116
723	228	25111	225	25116
724	228	25111	224	25115
725	228	25111	224	25116
726	228	25110	224	25115
727	227	25112	224	25116
728	228	25112	225	25117
729	228	25112	225	25116
730	228	25112	225	25117
731	228	25111	225	25116
732	228	25110	225	25116
733	228	25112	224	25117
734	228	25111	224	25116
735	228	25112	225	25117
736	228	25111	225	25117
737	228	25111	225	25116
738	228	25111	225	25116
739	227	25111	225	25117
740	228	25111	225	25116
741	227	25111	224	25116
742	227	25111	224	25117
743	228	25111	225	25116
744	228	25111	225	25117
745	228	25112	225	25117
746	228	25111	225	25116
747	228	25111	225	25117
748	228	25111	225	25116
749	228	25111	224	25116
750	228	25111	225	25117
751	228	25112	225	25117
752	228	25111	225	25117
753	228	25112	225	25117
754	228	25112	224	25116
755	228	25111	224	25116
756	227	25111	225	25116
757	228	25112	225	25117
758	228	25112	225	25117
759	228	25112	225	25116
760	229	25112	225	25117
761	228	25111	225	25116
762	227	25112	224	25116
763	227	25111	224	25117
764	227	25111	225	25117
765	228	25111	224	25116
766	228	25111	225	25116
767	228	25111	224	25115
768	326	25012	322	25017
769	326	25012	323	25016
770	326	25012	323	25016
771	326	25012	323	25017
772	326	25012	323	25016
773	327	25012	323	25018
774	326	25013	323	25018
775	326	25013	323	25017
776	326	25012	323	25018
777	326	25012	323	25017
778	326	25012	323	25017
779	326	25012	323	25018
780	326	25013	323	25017
781	326	25013	323	25017
782	326	25012	323	25018
783	326	25012	323	25017
784	325	25012	323	25017
785	326	25012	323	25017
786	326	25013	323	25018
787	326	25012	323	25018
788	326	25012	323	25017
789	326	25013	323	25017
790	326	25011	323	25017
791	326	25012	322	25017
792	326	25012	323	25017
793	326	25011	323	25017
794	326	25012	323	25017
795	326	25012	323	25017
796	326	25012	323	25017
797	327	25013	323	25017
798	326	25012	323	25017
799	326	25012	323	25017
800	326	25012	323	25018
801	326	25012	323	25017
802	326	25012	323	25017
803	326	25012	323	25018
804	326	25013	323	25017
805	326	25012	322	25017
806	326	25012	323	25017
807	326	25012	323	25017
808	326	25012	323	25018
809	326	25012	323	25017
810	326	25012	323	25017
811	327	25012	323	25018
812	326	25012	323	25017
813	326	25011	323	25017
814	326	25012	323	25017
815	326	25012	323	25017
816	326	25012	323	25018
817	326	25012	323	25017
818	326	25012	323	25016
819	326	25011	322	25016
820	326	25013	323	25017
821	326	25013	323	25018
822	326	25012	323	25017
823	326	25013	323	25018
824	326	25012	323	25018
825	326	25013	323	25018
826	326	25013	323	25018
827	326	25012	323	25018
828	327	25000	324	25005
829	327	25001	324	25005
830	327	25001	324	25006
831	327	25001	324	25006
832	327	25002	324	25007
833	327	25002	324	25006
834	326	25001	324	25006
835	326	25001	323	25006
836	326	25001	324	25005
837	327	25002	324	25007
838	327	25001	324	25007
839	327	25002	324	25007
840	327	25002	324	25007
841	327	25002	324	25007
842	326	25002	324	25006
843	327	25002	323	25008
844	326	25003	324	25007
845	326	25003	324	25008
846	327	25003	324	25008
847	326	25003	324	25007
848	327	25003	324	25008
849	326	25002	324	25008
850	326	25004	324	25008
851	327	25002	324	25008
852	327	25003	324	25008
853	327	25004	324	25008
854	327	25002	324	25008
855	327	25003	324	25007
856	327	25003	324	25007
857	327	25002	323	25007
858	326	25003	324	25007
859	326	25002	324	25008
860	327	25003	324	25007
861	327	25003	324	25008
862	327	25003	324	25008
863	327	25002	324	25007
864	326	25002	324	25007
865	326	25002	324	25006
866	326	25002	324	25007
867	327	25003	324	25009
868	327	25004	324	25008
869	327	25003	324	25008
870	327	25003	324	25008
871	326	25003	324	25007
872	327	25003	323	25008
873	326	25003	323	25008
874	326	25003	324	25007
875	327	25003	324	25008
876	327	25003	324	25008
877	326	25003	324	25007
878	326	25002	323	25008
879	326	25003	324	25007
880	326	25002	323	25007
881	327	25003	324	25007
882	326	25003	324	25008
883	327	25002	324	25008
884	327	25003	324	25008
885	327	25003	324	25008
886	327	25003	324	25007
887	326	25003	324	25007
888	326	25002	324	25007
889	327	25003	324	25007
890	327	25004	324	25008
891	327	25003	324	25008
892	327	25003	324	25007
893	327	25003	323	25007
894	326	25002	323	25007
895	327	25003	324	25007
896	326	25003	324	25008
897	327	25004	324	25008
898	327	25003	324	25008
899	327	25003	324	25008
900	327	25003	324	25007
901	326	25003	323	25008
902	326	25003	324	25008
903	326	25003	324	25008
904	327	25003	324	25008
905	327	25003	324	25008
906	327	25003	324	25007
907	327	25002	323	25008
908	326	25003	324	25007
909	326	25002	324	25007
