x	ch0	ch1	ch2	ch3
881	326	25007	324	25011
882	327	25007	324	25012
883	326	25006	324	25011
884	326	25007	324	25011
885	326	25006	323	25011
886	326	25006	323	25011
887	325	25006	323	25011
888	326	25006	323	25011
889	327	25007	324	25012
890	327	25007	324	25011
891	327	25006	324	25010
892	327	25006	323	25011
893	326	25006	323	25011
894	326	25006	323	25011
895	326	25006	323	25011
896	326	25007	324	25011
897	326	25006	324	25011
898	326	25006	323	25012
899	326	25007	323	25012
900	326	25006	323	25011
901	326	25006	323	25011
902	326	25007	323	25011
903	326	25006	324	25011
904	326	25007	324	25011
905	326	25007	323	25012
906	327	25007	324	25011
907	326	25007	322	25011
908	325	25006	323	25011
909	326	25005	323	25010
910	325	25006	322	25011
911	327	25007	324	25011
912	326	25006	324	25011
913	327	25007	324	25011
914	327	25007	324	25010
915	326	25006	323	25010
916	326	25006	323	25011
917	326	25007	324	25011
918	326	25007	324	25011
919	326	25006	323	25011
920	326	25007	323	25011
921	327	25006	324	25012
922	326	25007	323	25012
923	326	25007	323	25011
924	326	25006	323	25011
925	326	25007	323	25011
926	327	25006	323	25011
927	327	25006	324	25012
928	327	25007	324	25012
929	327	25006	323	25012
930	326	25007	323	25011
931	326	25006	324	25011
932	326	25006	324	25012
933	326	25007	324	25011
934	327	25007	324	25012
935	327	25007	323	25012
936	327	25007	323	25011
937	326	25006	323	25011
938	326	25006	324	25011
939	326	25007	323	25011
940	326	25007	324	25012
941	326	25007	324	25011
942	327	25007	324	25011
943	326	25006	324	25011
944	326	25006	324	25011
945	326	25007	323	25012
946	326	25007	323	25012
947	326	25007	323	25011
948	326	25007	323	25012
949	327	25008	324	25012
950	326	25007	324	25012
951	326	25007	323	25012
952	326	25008	323	25011
953	326	25006	323	25011
954	326	25007	323	25012
955	326	25007	324	25012
956	326	25006	323	25012
957	326	25007	324	25012
958	326	25007	323	25011
959	326	25007	323	25011
960	326	25007	323	25011
961	326	25006	323	25011
962	326	25006	324	25012
963	326	25007	324	25012
964	326	25006	324	25012
965	326	25007	324	25011
966	326	25007	323	25011
967	326	25006	323	25011
968	326	25007	323	25012
969	326	25007	323	25012
970	327	25007	324	25012
971	326	25007	323	25012
972	326	25006	324	25012
973	326	25006	323	25011
974	326	25007	323	25011
975	326	25007	323	25011
976	326	25007	323	25011
977	326	25007	323	25012
978	326	25007	324	25011
979	326	25007	323	25012
980	327	25006	323	25011
981	326	25007	323	25011
982	326	25007	323	25011
983	326	25006	323	25012
984	326	25007	324	25010
985	327	25007	323	25012
